comment,likes,dislikes,-3.16476047039032,
"근데 화장으로 이렇게 변하려면... 몸매 받쳐주는 건 물론이고 피부, 얼굴형, 헤어라인이 다 받쳐줘야합니다.. 화장만으로 이렇게 될거라고 생각하면 큰 오산임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",148642,2418,-3.0622589588165283,1.0
이게 오히려 우리나라 외모지상주의의 문제점을 더 잘드러나게함,50588,2145,2.975361943244934,4.0
헐 작가님 배도때부터봤어요ㅠㅜㅜㅠ 이거 ㄹㅇ명작이예요 얼른 올라가세요ㅠㅠㅠ,45679,2191,2.581271529197693,5.0
"남자도 여자도 상대방 동의 없이 얼굴이 어쩌니 몸매가 어쩌니 하는 게 그것이 칭찬일지라도 잘못 되었다는걸 왜 모르지... 이건 성별 문제가 아니라 그런 행동 자체가 잘못되었다는건데, 이렇게 밑도끝도 없이 성별 나눠서 니가 못했네 잘했네 하는 게 ㄹㅇ 불편러 같아보임.",26014,3325,-4.8854222893714905,3.0
"지들은 뭔 부처인듯이 말하네 니들도 잘생긴 사람 지나가면 잘생겼다고 난리치고 예쁜사람 지나가면 엄청 예쁘다고 하면서 왜 그렇게 웹툰에서만 불평질이야?
막말로 니들도 잘생기거나 예쁜 사람하고 사귀고 싶어하잖아",19559,4034,2.521551251411438,0.0
쌩얼도 정도면 그냥 쌍수랑 피부과만 다니면 될 것 같은데????,12307,1241,4.223241209983826,2.0
"베도에서는 고등학생이였는데,뭔가 더 현실성있고 좋아졌써여!",10265,543,4.981437921524048,4.0
"나도 배도때부터봤지만.. 20화도 업뎃인되지않앗나? 진짜10화정도였던거같은데.. 스토리진행도 초반에 정식업로드된다고 안올라왓는데
배뎃에 대작이다연예혁명을 잇는다ㅋㅋ이런댓보면 솔직히웃김",9988,963,4.982023239135742,-3.0
빈말이라도 남한테 잘생겼다 소리 들으면 기분 좋은데 예쁘다는 말은 기분 나쁘겠냐,10869,2142,-3.95811527967453,2.0
남자는 어떤식으로 화장을 하는게 좋을까,8284,826,-3.0988386273384094,0.0
58화보고 프롤로그 보러왔닼ㅋㅋㅋㅋㅋㅋ,1181,45,3.4896451234817505,1.0
이때 그림체가 좋은데..,504,13,4.332928657531738,-2.0
128화 보고온사람!!! 몇명이나되는지 궁금 ㅋㅋ,444,15,3.8272884488105774,2.0
말 많고 탈 많긴 했는데 네웹 레전드 웹툰이긴 함,290,14,-2.889612317085266,4.0
나만 58화 끝나고 프롤로그 보러온거아니였구나ㅋㅋ,282,12,4.686695337295532,1.0
